127.0.0.1 - - [29/Oct/2017:08:44:54 +0530] "GET / HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [29/Oct/2017:08:45:09 +0530] "GET /newlist/Home.jsp HTTP/1.1" 200 316
0:0:0:0:0:0:0:1 - - [29/Oct/2017:08:59:05 +0530] "GET /newlist/Home.jsp HTTP/1.1" 200 1750
0:0:0:0:0:0:0:1 - - [29/Oct/2017:08:59:45 +0530] "GET /newlist/Home.jsp HTTP/1.1" 200 1750
0:0:0:0:0:0:0:1 - - [29/Oct/2017:09:00:06 +0530] "GET /favicon.ico HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [29/Oct/2017:09:07:59 +0530] "GET /newlist/Home.jsp HTTP/1.1" 200 406
0:0:0:0:0:0:0:1 - - [29/Oct/2017:09:09:23 +0530] "GET /newlist/Home.jsp HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [29/Oct/2017:09:09:23 +0530] "GET /newlist/Home.jsp HTTP/1.1" 500 437
0:0:0:0:0:0:0:1 - - [29/Oct/2017:09:10:43 +0530] "GET /newlist/Home.jsp HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [29/Oct/2017:09:10:44 +0530] "GET /newlist/Home.jsp HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [29/Oct/2017:09:10:45 +0530] "GET /newlist/Home.jsp HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [29/Oct/2017:09:32:31 +0530] "GET /newlist/Home.jsp HTTP/1.1" 200 1164
0:0:0:0:0:0:0:1 - - [29/Oct/2017:09:32:31 +0530] "GET /newlist/Home.jsp HTTP/1.1" 500 1164
0:0:0:0:0:0:0:1 - - [29/Oct/2017:09:32:32 +0530] "GET /newlist/style.css HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [29/Oct/2017:09:35:23 +0530] "GET /newlist/Home.jsp HTTP/1.1" 200 1173
0:0:0:0:0:0:0:1 - - [29/Oct/2017:09:35:24 +0530] "GET /newlist/external/style.css HTTP/1.1" 200 2153
0:0:0:0:0:0:0:1 - - [29/Oct/2017:09:35:53 +0530] "GET /newlist/Home.jsp HTTP/1.1" 200 1173
0:0:0:0:0:0:0:1 - - [29/Oct/2017:09:35:54 +0530] "GET /newlist/external/style.css HTTP/1.1" 200 2153
0:0:0:0:0:0:0:1 - - [29/Oct/2017:09:54:38 +0530] "GET /newlist/Home.jsp HTTP/1.1" 200 1183
0:0:0:0:0:0:0:1 - - [29/Oct/2017:09:54:42 +0530] "GET /newlist/external/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2017:09:54:59 +0530] "GET /newlist/parthi.html HTTP/1.1" 200 146
