127.0.0.1 - - [05/Nov/2017:15:18:34 +0530] "GET / HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [05/Nov/2017:15:18:47 +0530] "GET /newlist/ HTTP/1.1" 200 1199
0:0:0:0:0:0:0:1 - - [05/Nov/2017:15:18:47 +0530] "GET /newlist/external/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2017:15:19:30 +0530] "GET /newlist/ HTTP/1.1" 200 1199
0:0:0:0:0:0:0:1 - - [05/Nov/2017:15:19:35 +0530] "GET /newlist/external/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2017:15:19:37 +0530] "GET /favicon.ico HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [05/Nov/2017:15:19:40 +0530] "GET /newlist/jewels.jsp HTTP/1.1" 200 1113
0:0:0:0:0:0:0:1 - - [05/Nov/2017:15:19:40 +0530] "GET /newlist/external/parthi.css HTTP/1.1" 200 2085
0:0:0:0:0:0:0:1 - - [05/Nov/2017:15:24:12 +0530] "GET /newlist/ HTTP/1.1" 200 1199
0:0:0:0:0:0:0:1 - - [05/Nov/2017:15:24:13 +0530] "GET /newlist/ HTTP/1.1" 200 1199
0:0:0:0:0:0:0:1 - - [05/Nov/2017:15:24:14 +0530] "GET /newlist/ HTTP/1.1" 200 1199
0:0:0:0:0:0:0:1 - - [05/Nov/2017:15:24:20 +0530] "GET /newlist/jewels.jsp HTTP/1.1" 200 1912
0:0:0:0:0:0:0:1 - - [05/Nov/2017:15:27:13 +0530] "GET /newlist/jewels.jsp HTTP/1.1" 200 625
0:0:0:0:0:0:0:1 - - [05/Nov/2017:15:29:37 +0530] "GET /newlist/jewels.jsp HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [05/Nov/2017:15:31:13 +0530] "GET /newlist/jewels.jsp HTTP/1.1" 200 586
0:0:0:0:0:0:0:1 - - [05/Nov/2017:15:34:27 +0530] "GET /newlist/jewels.jsp HTTP/1.1" 200 702
